Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2016-09-15,Memento,2000,https://boxd.it/bgTk7,3.5,,🙃🔫,,2016-09-14
2016-12-29,Revolutionary Road,2008,https://boxd.it/cNFSJ,3.5,,"Introspectivo. Talvez tenha uma pinta de conto de Clarisse L; rotina-epifania-retorno, porém dessa vez com um final um tanto quanto trágico.",,2016-12-29
2017-11-18,City of God,2002,https://boxd.it/lI4o9,4.5,Yes,"Dadinho é o caralho, meu nome é Zé Pequeno, porra!",,2017-11-17
2019-03-12,BlacKkKlansman,2018,https://boxd.it/F80vD,5,,"C A R A L H O. 
Uma pedrada.
Silêncio mortal ao final.
A maior exaltação possível. 
Spike Lee, puro e simplesmente.
O riso dos outros: do que você está rindo? Qual o papel que você assume e representa no grande palco do teatro social?",,2019-03-11
2019-10-12,Joker,2019,https://boxd.it/PW7ht,4,,"Com mainha’s, em pleno iGEM, “that’s life” (!)",,2019-10-11
2019-12-11,Invisible Life,2019,https://boxd.it/TD0D1,4.5,,Reflexão sobre as relações e as implicações do ato de ser Mulher. Filmão.,,2019-12-10
2020-01-29,The Book of Henry,2017,https://boxd.it/XXwGR,3,,"Filme triste da babônica. Se veste de um filme alegre, porém no decorrer a realidade se mostra o oposto.",,2020-01-29
2020-03-24,Coco,2017,https://boxd.it/12Hd69,5,,"Um dos filmes mais lindos que já vi. Lida com a memória, esquecimento, família",,2020-03-24
2020-05-22,Do the Right Thing,1989,https://boxd.it/19TfZn,4,,"Do the right thing.
But at the end of the day who says what’s right and what’s not?",,2020-05-21
2020-05-24,Lost in Translation,2003,https://boxd.it/1a7foJ,3.5,,"Com Dudinha, em 40tena.
Acontecências...
Encontros e desencontros da vida, tempo e espaço.
“A vida é a arte do encontro, embora haja tanto desencontro pela vida.” - Vinícius de Moraes (Samba da Benção)",,2020-05-23
2020-05-27,2001: A Space Odyssey,1968,https://boxd.it/1avv81,5,,"Obra-prima.
Imagens primorosas, cores e design no ponto, pode-se dizer que até hoje futuristas.",,2020-05-27
2020-06-01,Sunset Boulevard,1950,https://boxd.it/1b2nQv,5,,Sensacional. Me lembrou muito a ideia de O Artista.,,2020-05-31
2020-06-16,Molly's Game,2017,https://boxd.it/1cDppT,3.5,,"Amei a parte da “terapia” a jato com o pai, muito interessante.",,2020-06-15
2020-07-23,Silver Linings Playbook,2012,https://boxd.it/1gqf7F,4,,"“Por que tanta empolgação por um cinco?” 
Hahaha às vezes na vida é preciso aceitar que 5 bola é dez.",,2020-07-23
2020-08-20,City Lights,1931,https://boxd.it/1jgg5n,4.5,,Não acredito que acaba assim!!,,2020-08-19
2020-10-11,Blue Jasmine,2013,https://boxd.it/1oIcAd,4,Yes,"Tinha tudo para ser bom - vulgo a presença da ilustríssima Cate Blanchett - mas é completamente esquecível. Tanto que assisti a segunda vez pensando que era a primeira; quando cheguei ao final do filme reconheci-o e mesmo assim não fui capaz de lembrar do desfeche e pela segunda vez me decepcionei com o final “simplesmente fim”. Entretanto, certamente bem feito.",,2020-10-10
2020-10-15,Hope Floats,1998,https://boxd.it/1pbDlx,3,,"Sinceramente, que filme triste da babônica. Dia cheio, só queria ver um filme de boinhas pra fechar o dia, chorei horrores.",,2020-10-15
2020-10-31,La Dolce Vita,1960,https://boxd.it/1qYKFB,3.5,,"Vazio, assim como a vida daquele que buscava retratar.",,2020-10-30
2020-11-03,Wild Strawberries,1957,https://boxd.it/1ro3ZZ,4.5,,"“Nossa relação com as pessoas consiste em discutir com elas e criticá-las. Foi isso que me afastou, por vontade própria, de toda minha vida social. Isso tornou minha velhice solitária. Sempre trabalhei muito e sou grato por isso. Comecei a trabalhar para sobreviver e acabei amando a ciência.”",,2020-11-02
2020-11-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1ruqhj,4.5,,Finalmente consegui assistir o final! Um filme que me arrependo de não ter assistido no cinema.,,2020-11-03
2020-12-03,Kika,1993,https://boxd.it/1utpl5,3,,"À la “o que que está acontecendo”.
Achei P. Bazzo completamente desnecessário.
Looks icônicos de Andrea Caracortada!",,2020-12-02
2020-12-03,The Hours,2002,https://boxd.it/1uu8Qn,4.5,,"A trilha e cortes no ponto. 
Mrs Dalloway e a enigmática Virgínia Woolf, a história se repete, em um ciclo sem fim, no qual retornamos continuamente ao lugar imemorial de onde viemos.",,2020-12-02
2020-12-04,The Undoing,2020,https://boxd.it/1ux8yz,3.5,,"Final decepcionante, mas como o subtítulo já disse: “Já devias saber”. 
Atuação de Hugh Grant, do qual nos acostumamos a vê-lo sempre em comédias água com açúcar, convence e faz jus a seu papel. 
Amei a advogada H. Fitzgerald, posso dizer que foi a minha personagem favorita da série e Noma Dumezweni uma nova descoberta de atriz que merece ser acompanhada. Super posso imaginar uma série só dela em algo no estilo de Suits, uma parceira ou oponente à altura de Jessica! 
Enfim, foram boas semanas acompanhado a história e confabulando junto com o público o desfecho.",,2020-11-29
2020-12-04,The Shining,1980,https://boxd.it/1uzVf1,4.5,,"Finalmente consegui assistir o final do filme!
Hotel majestoso, algo da ordem de grandeza do Grand Hotel Budapeste.
Incrível como a câmera flui gentilmente acompanhando o movimento dos personagens.
A crescente loucura de Jack é fantástica!
Pessoalmente amei as dezenas de layouts que conseguiram inventar para ilustrar a “grande obra” de Jack.
Em alguns pontos - em especial na cena do banheiro vermelho - vi traços de Leonardo Di Caprio. Aposto que Jack Nicolson deve ser uma de suas referências! 
Amei os tapetes coloridos, as cores quentes com o vermelho e laranja e as frias verde e roxo. 
O frio brutal e inevitável. A última vez que vi tanta neve foi no Dia depois de amanhã. 
E por fim, já temos uma dica de onde saiu o labirinto no qual nos perdemos a si próprios do torneio tribruxo de Harry Potter e o cálice de fogo. 
Fica aí um bom lembrete: sempre saiba quem paga as bebidas!",,2020-12-03
2020-12-05,Gentlemen Prefer Blondes,1953,https://boxd.it/1uHJL1,3.5,,"A amizade das duas é muito divertida e elas são deslumbrantes! Pena que Marilyn tinha que fazer o papel de desmiolada metade do filme.
Mais Hollywood que isso impossível.",,2020-12-04
2020-12-08,Trumbo,2015,https://boxd.it/1v6VMP,3.5,,"Macarthismo, medo irracional de comunistas... uma grande piada. Uma pena que a história se repete e o riso de uns é ao custo de snague doutro.
Quanto ao filme, demasiadamente longo,  “Mas tem uma boa história no meio”. Gostei muito de ver pessoas reais, não conhecia Trumbo e fiquei com muita vontade de assistir Spartacus!",,2020-12-07
2020-12-22,The Aviator,2004,https://boxd.it/1wEToN,4.5,,"Um obra cinematográfica com uma pretensão tal qual o Hércules de sr. Hughes.
Muita metalinguagem do fazer e criar de filme; lentes, câmeras, flashes, cortes, cores.
Uma constelação de estrelas, mas justamente a que deveria brilhar mais - o aviador - senti que ficou meio apagada. Senti que Leonardo DiCaprio se perdeu um pouco no próprio personagem e entregou algo que já vimos várias vezes com sua cara. Gostei muito de todas as atuações coadjuvantes, elas foram muito convincentes e pareciam bem integradas ao tempo e espaço do filme. Destaque para Cate Blanchett que levou a estatueta do Oscar por essa atuação. 
As imagens e quadros na tela são interessantes, prendem a atenção embora o filme seja longo, assim como a rotação de personagens “secundários” que conquistam o espectador.",,2020-12-22
2020-12-28,Annie Hall,1977,https://boxd.it/1xDAiX,4,,Que cara chato pra c*ralho!,,2020-12-28
2021-01-04,Reservoir Dogs,1992,https://boxd.it/1ySLzz,2.5,,Chato p c*ralho.,,2021-01-03
2021-01-17,Stateless,2020,https://boxd.it/1ATzlZ,4.5,,Diáspora - Tribalistas,,2021-01-16
2021-01-17,Song to Song,2017,https://boxd.it/1AVz7d,2.5,,"Chato, entediante. Porque as pessoas só falam sussurrando nesse filme?",,2021-01-16
2021-01-17,Double Dad,2021,https://boxd.it/1AXg6T,3.5,,Fofo,,2021-01-16
2021-01-18,Platoon,1986,https://boxd.it/1B8rVZ,3.5,,Melhor pela presença de Dafoe novinho. Um piteuzinho!,,2021-01-17
2021-01-22,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/1BGLXp,4.5,,Amooo esse universo almodovariano!,,2021-01-21
2021-02-13,Madagascar,2005,https://boxd.it/1ELnGB,4,Yes,"Eu me remexo muito. 
Tá com tudo em cima, tá com tudo em cima",,2021-02-12
2021-02-28,News of the World,2020,https://boxd.it/1GWDvJ,4,,"Visuais muito bonitos e músicas interessantes, curioso que em alguns momentos estas me remeteram a um som que associo com a Irlanda...
Muito legal ser levada para o tempo-espaço de 1870 - Sul dos EUA. 
Tom Hanks e a garota matam a pau na atuação. Em especial, a olhada dele no momento de sua separação é ouro puro, o cara put to f*ck.",,2021-02-27
2021-03-01,The Only Living Boy in New York,2017,https://boxd.it/1H5JIR,3.5,,"Com dinda, em Itacimirim. 
Divertido de imaginar o que aconteceria e dei graças que não girou completamente em torno do rapaz, se o fosse creio q seria muito chato.",,2021-02-28
2021-03-01,The Devil's Mistress,2016,https://boxd.it/1H7kt7,3,,"Pelo fator histórico é uma história e tanto, a vida dessa mulher foi marcada de uma maneira que não pode ser desfeita. É sempre bom conhecer outras facetas de uma história de horrores que há tanto escutamos na escola, em filmes...",,2021-02-28
2021-03-07,Thelma & Louise,1991,https://boxd.it/1HVsUP,5,,Ma-ra-vi-lho-sas!,,2021-03-06
2021-04-06,The Man in the Iron Mask,1998,https://boxd.it/1M6UbL,2.5,,"Assisti meio avoada, mas bem filminho cara de Sessão da Tarde.",,2021-04-05
2021-04-11,Alien,1979,https://boxd.it/1MDOPr,4,,"SImplesmente a pior empresa de exploração espacial do universo! Adeus bom senso, biossegurança...
Amei o close de chocado do gatinho Jonesy.",,2021-04-09
2021-04-11,Bad Education,2004,https://boxd.it/1MNNfx,,,"Terminei de assistir a segunda metade.
Muito bom, compensou o que eu tinha me perdido na primeira, mas ainda acho que devo assistir de novo de maneira contínua.
Potencial para ser um dos meus favoritos dele!",,2021-04-10
2021-04-14,The Terminator,1984,https://boxd.it/1NdykT,4,,Quem diria que no Exterminador do Futuro haveria referência à Buñuel e sua famosa cena de Um cão andaluz 👁🔪,,2021-04-13
2021-04-23,Failure to Launch,2006,https://boxd.it/1Ov12R,3,,Como esse homem consegue ser tão maravilhoso,,2021-04-22
2021-05-03,Fargo,1996,https://boxd.it/1PSKwn,4,,"Poxa, esperava mais. Achei as coisas um tanto soltas.",,2021-05-02
2021-05-06,Sound of Metal,2019,https://boxd.it/1QjD6L,4.5,,Angustiante. Incrível poder sentir uma fração do que o personagem estaria passando através do som.,,2021-05-05
2021-06-03,The Day Sports Stood Still,2021,https://boxd.it/1U66I3,3,,Um recorte da microrrevolução que ocorreu na bolha do NBA em 2020. Muito bom ver gente que se importa e que permanece firme frente ao que acredita e é certo.,,2021-06-03
2021-06-04,Life Is Beautiful,1997,https://boxd.it/1Uatsv,5,,"Demorei tanto para assistí-lo pensando que seria um filme pesadíssimo e deprimente, não poderia estar mais enganada. Embora trate de um evento histórico pesadíssimo (e tenha me roubado algumas lágrimas), diria até mesmo que é um filme alegre. Mostra o melhor e o pior lado do ser humano, e, para mim, o que mais ficou marcado foi o lado positivo. No saldo final sai chorando, mas contente. Fiquei com pensamentos sobre coisas pesadas, mas de uma maneira leve. Guido é uma pessoa extraordinária, capaz de mudar o mundo ao seu redor com sua simpatia, gentileza e, sobretudo, amor pela beleza da vida em si. Faz pensar em como abordamos a vida e o que realmente importa, as pequenas coisas podem significar tudo para o outro.",,2021-06-03
2021-06-04,The Flower of My Secret,1995,https://boxd.it/1UbllN,4.5,Yes,"Me peguei pensando em como eu realmente admiro as pessoas que escrevem e são capazes de criar romances, vidas inteiras, da sua cabeça e transpor para o papel.


*Fico feliz com as referências a The Apartment e Casablanca :)",,2021-06-03
2021-06-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1UsLhr,1.5,,"Muito ruim. Preferia não ter assistido, foram horas sofridas em frente à televisão.",,2021-06-05
2021-06-12,No Reservations,2007,https://boxd.it/1Vgbuf,2.5,,Um tom um pouco mais triste do que deveria para um filminho estilo Sessão da Tarde,,2021-06-11
2021-06-14,Killers,2010,https://boxd.it/1Vw1Lx,1.5,,Ashton Kuchter com cara de oreba o filme todo.,,2021-06-12
2021-06-14,Carnaval,2021,https://boxd.it/1Vw1ZT,1.5,,"Dói de tão ruim, muitas cenas de pura vergonha alheia.
O trailer passa a impressão de um filme tão divertido, mas na maior parte não é. 
Queria que tivesse cenas do carnaval de ssa de verdade, muito fraco.",,2021-06-13
2021-06-14,Meet Joe Black,1998,https://boxd.it/1Vw2Nz,2.5,,"3 HORAS de filme! Podia cortar 1/3 para ficar razoável. 
Anthony Hopkins realmente é um excelente ator, pois ele é capaz de segurar 3h de filme, sem nada muito específico acontecendo, com seus olhos azuis penetrantes e hipnotizantes. Brad Pitt novinho é um colírio para os olhos e é o chamariz do filme. Quase um deuso na terra. 
Quanto ao filme “Meet Joe Black”: a gente assiste o filme inteiro, na verdade não conhece nada de ninguém e é isso aí ✌️",,2021-06-13
2021-06-15,"Master, a Building in Copacabana",2002,https://boxd.it/1VDgKj,4.5,,Um doc de gente. Gostei muito.,,2021-06-14
2021-06-20,Closer,2004,https://boxd.it/1WfSaJ,4,,"Natalie Portman está incrível nesse filme. 
Senti que Julia Roberts por outro lado ficou um pouco apagada.
Jude Law (❤️), mas que pé no saco ele é nesse filme, nunca tá contente, quem tudo queria ficou sem nada. E o doidão que só grita, gostei dele, não o conhecia.",,2021-06-19
2021-06-23,Small Fry,2011,https://boxd.it/1WEYfl,4,,"Eu amei, simplesmente amei a mini porção cabeçudinha de Buzz. Me vi nele em alguns momentos (😂). Por mim esse personagem era adicionado ao universo de maneira permanente. Falas e frases muito boas, mas vale ressaltar que para mim deu a impressão de que os roteiristas estavam ficando sem tempo para continuar a história é só terminaram, como quando você percebe que só tem 2 linhas para encerrar uma redação e dá um salto pra fechar.",,2021-06-22
2021-06-23,Party Central,2013,https://boxd.it/1WF1jP,3.5,,"Muito besta, mas de uma maneira boa! Rimos alto.
Só peca pelo fato de Mike e Sully estarem distantes das personalidades bem conhecidas de Monstros SA - algo que para mim pesa bastante, pois amo eles -, mas mantém a linha do que vimos na Universidade Monstros.",,2021-06-22
2021-06-27,Casablanca,1942,https://boxd.it/1X5ZYl,4.5,,"“I remember every detail. 
The Germans wore gray, you wore blue.”

“Here’s looking at you, kid”",,2021-06-26
2021-06-27,Citizen Kane,1941,https://boxd.it/1X7cJZ,3.5,,"Muito bem feito, mas não me tocou de maneira alguma.",,2021-06-26
2021-06-30,The Big Lebowski,1998,https://boxd.it/1Xu65F,4.5,,"Amei Jeff Bridges, “The Dude”: que homi, o cabelo sedoso, a sandalinha, oclinhos e pá.
O mutchatcho roxo do boliche parece a lambisgoia de Monstros SA: Randal.
Juliane Moore ??? Não entendi nada, mas amei.
E que cara imbecil o amigo.",,2021-06-29
2021-06-30,A Clockwork Orange,1971,https://boxd.it/1XxTLV,5,,"Perturbado.
Cores e música vívidas.
Amei a casa.
Genial.
*imagina o livro",,2021-06-29
2021-07-01,Olive Kitteridge,2014,https://boxd.it/1XHq8Z,4.5,,"“<i>It baffles me, this world. And I don’t wanna leave it yet.”</i>

Frances McDormand está maravilhosa no papel. Me lembrou a grande dama Montenegro.",,2021-06-30
2021-07-03,Practical Magic,1998,https://boxd.it/1XX9fr,3.5,,"Sandrinha sendo Sandrinha com um + da presença de Nicole Kidman, bruxaria, man down ron pon pon pon 
O que mais uma pessoa pode querer??",,2021-07-02
2021-07-10,Cinderella,2015,https://boxd.it/1YTGcL,3.5,,"Cate Blanchett is terrific!
And I could swear Cinderella’s song was the main Disney song, the one that appears with the castle, but it seems that she doesn’t even have a known one. 
Cinderella used to be one of my least favorite princesses, but I enjoyed the live-action version and I have to admit that she does teach a good message: “Have courage and be kind” (“Tenha coragem e seja gentil”). 👑",,2021-07-09
2021-07-11,Neighboring Sounds,2012,https://boxd.it/1ZaMJ1,3,,"Adorei a premissa, mas amarrado. As cenas de conversas “cotidianas” são sofridas de se assistir, o tempo lento é característico, mas em alguns momentos arrasta o filme. Nossa curiosidade voyeurística inata é a base para manter o espectador, mas, pelo menos para mim, nem isso é capaz de segurar as 2h diretas; para terminar de assistir precisei de 3 noites :( Mas sobretudo gostei da experiência de ver Recife e um Brasil mais perto da gente sendo retratado, principalmente na telona, e com tanto esmero em especial no cuidado com os sons no bairro, que leva o título do filme. 

*ps: a mãe dos cachorros me lembrou completamente da irmã de Lilo de Lilo & Stitch: unidas por um cachorro infernal, separadas pelas Américas.",,2021-07-10
2021-07-13,Wonder Woman 1984,2020,https://boxd.it/1Zqjwp,4,,"Finalmente um filme da DC que dá pra enxergar, tem claridade",,2021-07-12
2021-07-14,Holes,2003,https://boxd.it/1ZvOzT,3,,Por anos pensei que pensei que esse filme tivesse sido uma alucinação.,,2021-07-11
2021-07-15,Dogtooth,2009,https://boxd.it/1ZHp2z,3.5,,"???
Estranheza, sensação de assistir a um experimento social, mas depois de alguns minutos você se pergunta: quem é o objeto de estudo? O pessoal da casa, a mente do diretor que concebeu essa obra ou a gente que tá asssitindo?
Apesar de tudo, é estético de se ver.",,2021-07-14
2021-07-18,Another Round,2020,https://boxd.it/20df5x,4,,"Na última cena, a epifania do personagem transcende a tela. 🍾",,2021-07-17
2021-07-19,The Father,2020,https://boxd.it/20o6Pj,5,,"Se algo como a perfeição existe, Anthony Hopkins a atingiu com essa atuação.",,2021-07-18
2021-08-02,Larry Crowne,2011,https://boxd.it/22kGPf,3,,Filminho besta (poderia ser de sessão da tarde) que eu não fazia ideia de que existia. Quem diria que Tom Hanks e Julia Roberts dariam um par romântico.,,2021-07-31
2021-08-02,Shrek,2001,https://boxd.it/22kHAP,4.5,Yes,"É que nem vinho, só melhora com o tempo.",,2021-07-31
2021-08-03,The Hunger Games: Mockingjay - Part 2,2015,https://boxd.it/22w3JL,4,Yes,"Não posso me esquecer de como essa história é boa (!)
Até hoje desejando minha Barbie Collection da Effie",,2021-08-02
